UN_Region,Year,Population,E_Waste_kg_per_capita,Total_E_Waste_metric_tons,Recycling_Rate_percent,Formal_Collection_Rate_percent,Informal_Processing_percent,Hazardous_Content_percent,Landfill_Rate_percent,Export_Rate_percent,E_Waste_Policy_Index,GDP_per_capita_USD,Urbanization_Rate_percent
Latin America and the Caribbean,2024,49172702,17.72,871340.28,55.83,46.57,80.15,33.63,34.58,33.6,0.128,7270.42,24.54
Northern America,2020,210147686,12.3,2584816.54,7.49,6.2,4.38,24.12,51.74,9.57,0.028,7871.28,26.55
Eastern Asia,2023,173219857,12.59,2180838,54.97,23.48,99.06,33.2,69.5,8.28,0.745,20287.92,51.71
Western Asia,2022,186747698,24.77,4625740.48,20.66,3.41,70.15,10.08,24.35,2,0.121,10470.13,75.02
Sub-Saharan Africa,2020,149841018,15.49,2321037.37,77.16,6.83,18.67,32.95,24.22,6.81,0.787,75605.02,45.37
Eastern Asia,2024,36065256,17.09,616355.23,54.13,14.47,84.41,13.67,62.27,21.46,0.94,23408.96,92.64
Latin America and the Caribbean,2022,58152807,23.64,1374732.36,74.79,17.39,95.57,12.65,25.37,28.63,0.578,50743.06,91.62
Central Asia,2022,92513605,21.81,2017721.73,25.1,22.11,39.62,24.86,47.99,30.9,0.456,52564.61,64.54
Central Asia,2021,42454092,18.2,772664.47,28.78,6,59.25,20.38,55.85,24.31,0.573,43158.81,62.99
Europe,2020,205009190,2.32,475621.32,70.47,33.52,54.26,35.41,22.03,11.44,0.097,54702.46,32.68
South-Eastern Asia,2023,175967329,14.91,2623672.88,75.2,68.36,42.97,39.72,9.72,7.45,0.556,952.72,42.8
Oceania,2021,92607549,7.23,669552.58,82.56,66.74,59.79,11.7,63.16,2.71,0.782,5177.13,78.19
South-Eastern Asia,2021,138768295,8.32,1154552.21,83.36,60.39,97.85,35.74,30.48,32.97,0.143,17625.04,20.58
Northern Africa,2020,215215719,5.11,1099752.32,7.29,6.14,72.41,30.83,62.49,10.03,0.424,20420.93,66.9
Eastern Asia,2022,52612326,6.88,361972.8,27.42,24.93,82.06,33.97,6.44,26.17,0.315,79295.22,27.82
Southern Asia,2021,226208408,10.14,2293753.26,22.72,12.79,43.4,37.21,43.55,12.59,0.623,27651.87,84.41
Europe ,2020,115179157,12.66,1458168.13,21.24,7.75,12.1,24.24,50.36,5.09,0.649,9159.89,59.36
Central Asia,2020,N/A,6.59,746178.25,68.27,24.74,75.31,27.48,45.08,11.38,0.075,47828.12,76.71
Northern Africa,2021,59260131,14.61,865790.51,12.22,12.1,19.08,28.09,63.85,22.88,0.471,64034.07,50.61
Europe ,2023,64877113,24.91,1616088.88,52.02,29.8,0.56,35.5,5,27.56,0.219,65706.1,25.72
Oceania,2023,204323334,5.6,1144210.67,8.92,5.38,86.44,30.65,53.55,23.02,0.936,30680.09,76.76
Central Asia,2021,83236262,3.73,310471.26,36.35,8.44,50.22,17.15,31.72,12.9,0.69,59481.74,50.25
Europe,2022,243699647,13.71,3341122.16,77.47,61.05,4.79,29.39,5.41,17.91,0.72,40986.71,64.1
Northern America,2024,223408550,23.09,5158503.42,21.71,14.69,58.22,22.61,52.8,28.63,0.727,65141.29,76.85
Oceania,2023,106866737,14.15,1512164.33,150,15.31,12.86,15.03,64.35,11.92,0.37,61108.15,88.56
Central Asia,2024,110423035,5.08,560949.02,82,63.98,71.22,17.17,54.37,0.79,0.554,25203.51,84.08
Southern Asia,2023,49623002,29.5,1463878.56,23.03,10.04,54.12,27.15,49.03,27.45,0.91,41705.31,35.44
Central Asia,2021,96065799,18.21,1749358.2,70.03,13.06,36.01,35.07,38.68,5.72,0.869,74921.88,76.39
Latin America and the Caribbean,2021,156321770,4.37,683126.13,62.2,11.12,3.9,16.97,19.36,24.17,0.813,13780.98,54.58
Northern Africa,2024,156306898,20.25,3165214.68,,9.12,49.86,29.99,54.61,25.03,0.568,42537.38,86.12
South-Eastern Asia,2021,234135012,15.41,3608020.53,32.1,22.38,67.71,25.93,9.14,29.32,0.961,,78.24
Northern America,2020,235196589,5.66,1331212.69,52.97,28.68,28.15,29.74,55.56,34.29,0.479,33332.28,39.25
Central Asia,2020,149608670,3.53,528118.61,20.3,18.9,97.72,26.62,31.77,2.12,0.857,46874.18,18.99
Europe,2024,187144265,3.02,565175.68,,45.99,41.25,21.13,57.15,31.15,0.005,31641.86,
South-Eastern Asia,2024,102827649,26.83,2758865.82,38.96,3.9,29.27,38.71,12.23,26.45,0.747,47398.9,92.26
Northern Africa,2021,74658998,14.89,1111672.48,79.15,16.93,80.97,38.3,7.55,20.46,0.347,46149.87,74.38
Sub-Saharan Africa,2022,51296117,28.59,1466555.99,77.99,31.34,94.55,22.96,18.4,21.72,0.094,12636.92,82.58
Northern America,2023,29374615,24.7,725552.99,47.52,44.42,82.81,19.72,24.85,22.25,0.068,25423.27,67.16
South-Eastern Asia,2020,118567085,12.88,1527144.05,84.56,80.38,12.98,28.06,38.35,22.2,0.189,6739.38,90.72
Southern Asia,2022,58394368,24.7,1442340.89,32.06,5.17,78.29,15.73,46.88,9.44,0.685,10524.81,66.78
Western Asia,2023,20408178,3.36,68571.48,34.6,5.55,98.07,18.04,35.75,3.96,0.454,51612.29,66.03
Western Asia,2022,N/A,15.16,2263196.74,18.47,12.83,91.27,26.81,25.49,14.33,0.218,35619.95,56.1
Northern America,2024,14937727,7.47,111584.82,30.05,28.73,36.45,13.9,28.8,1.58,0.672,28142.99,37.87
Southern Asia,2022,45338563,6,272031.38,50.06,14.75,73.85,11.89,64.08,33.31,0.786,70297.29,46.4
Oceania,2024,149585344,7.07,1057568.38,65.71,47.66,10.51,34.08,49.34,28.64,0.054,46001.19,50.12
South-Eastern Asia,2022,31987100,3.88,124109.95,19.14,16.15,58.46,16.57,34.8,29.91,0.102,76460.85,26.74
Central Asia,2021,176003325,27.5,4840091.44,19.35,6.73,66.21,33.74,15.08,34.99,0.544,58965.51,79.39
Latin America and the Caribbean,2021,245022363,4.41,1080548.62,56.92,47.97,52.78,14.49,36.28,0.49,0.907,19627.29,89.9
Northern America,2022,93798297,11.01,1032719.25,41.41,28.31,40.72,36.39,64.07,5.17,0.811,56548.12,53.73
Southern Asia,2024,29631605,2.87,85042.71,69.52,47.24,67.33,11.32,18.64,17.11,0.442,2604.01,42.87
Eastern Asia,2023,129689191,12.34,1600364.62,84.4,44.79,78.04,13.15,31.61,10.38,0.315,12368.6,
Oceania,2021,60796298,27.71,1684665.42,56.56,43.3,56.78,28.91,22.97,31.25,0.501,64525.47,58
Europe ,2024,232154764,18.7,4341294.09,8.05,4.8,58.65,17.45,67.24,19.97,0.332,44816.4,41.38
South-Eastern Asia,2023,227798043,-4.95,1127600.31,,13.77,64.64,33.14,54.83,3.92,0.874,9430.6,89.52
Eastern Asia,2023,87442264,10.25,896283.21,65.4,24.49,96.31,39.4,40.29,23.95,0.62,54363.9,92.59
Eastern Asia,2020,34745555,26.97,937087.62,25.02,16.34,37.99,37.98,17.84,17.59,0.228,64197.55,37.5
Southern Asia,2022,69666042,9.01,627691.04,16.54,5.32,18.99,32.95,49.16,12.12,0.582,66487.91,54.16
Europe,2023,53016306,3.37,178664.95,,56.51,70.9,26.82,56.62,26.2,0.591,16163.33,15.65
Europe ,2023,86064199,9.23,794372.56,61.71,37.65,18.95,32.52,5.5,6.87,0.855,67634.18,
Northern America,2021,152481415,14.47,2206406.08,82.55,60.42,18.19,36.46,36.01,29.64,0.831,1879.37,
Northern Africa,2024,156012260,26.52,4137445.14,48.92,42.21,73.2,28.59,6.32,34.7,0.39,37348.23,50.99
Oceania,2021,57844205,6.06,350535.88,57.47,20.62,37.89,13.24,9.03,16.64,0.52,16586.42,69.68
Central Asia,2023,144019195,2.13,306760.89,45.4,44.67,96.73,28.43,17,0.31,0.496,24504.89,42.95
Sub-Saharan Africa,2020,90215512,8.32,750593.06,11.23,3.09,49.88,33.2,63.37,14.1,0.301,14607.24,33.93
Europe,2022,183694247,6.44,1182990.95,30.99,21.6,96.65,37.23,33.74,2.48,0.645,33705.42,16.94
Latin America and the Caribbean,2024,21935324,24.74,542679.92,82.1,50.83,60.03,30.05,26.14,16.92,0.15,16023.02,40.01
Eastern Asia,2024,247060195,28.61,7068392.18,54.48,3.5,85.91,30.44,14.4,11.95,0.873,58426.58,41.45
Southern Asia,2024,190898671,20.6,3932512.62,71.23,61.71,77.52,30.87,12.09,3.39,0.65,unknown,74.19
Central Asia,2023,117268393,21.64,2537688.02,81.98,49.51,87.05,39.77,48.96,23.97,0.181,37314.1,76.24
Oceania,2023,130190573,23.68,3082912.77,54.08,46.85,37.96,34.14,41.88,33.02,0.883,21459.59,23.26
Oceania,2024,46207654,2.51,115981.21,42.7,3.58,55.51,17.09,33.67,7.14,0.819,15153.47,42.09
Western Asia,2021,66179952,8.47,560544.19,61.7,16.8,72.93,30.34,16.61,2.24,0.558,8171.45,18.97
Western Asia,2022,5215314,12.48,65087.12,36.49,13.84,88.92,21.87,18.71,27.48,0.813,27960.06,83.17
Southern Asia,2023,79016981,28.74,2270948.03,44.96,43.06,22.11,35.1,10.43,6.81,0.849,27234.13,38.95
South-Eastern Asia,2024,161853978,25.59,4141843.3,82.39,25.96,15.43,19.83,51.31,7.38,0.322,74830.39,77.53
Europe,2023,69869699,20.16,1408573.13,,50.11,47.28,15.61,28.33,32.89,0.24,69038.66,82.43
Southern Asia,2023,39209547,25.14,985728.01,33.65,26.39,28.02,22.09,7.31,5.06,0.112,46366.18,67.09
South-Eastern Asia,2023,238862428,22.38,5345741.14,34.78,11.57,1.06,35.61,65.44,20.97,0.007,,96.5
Northern Africa,2020,122457383,26.46,3240222.35,28.98,22.5,29.16,25.49,36.71,1.66,0.57,40639.83,58.09
Central Asia,2022,137789096,20.64,2843966.94,23.3,17.55,91.07,28.11,42.06,1.54,0.458,74002.68,30.72
Central Asia,2024,211258434,3.51,741517.1,60.54,41.48,8.34,10.73,5.16,4.55,0.212,68632.82,50.97
Western Asia,2024,117732222,16.89,1988497.23,10.46,6.69,25.17,21.64,13.7,12.22,0.746,14118.81,23.38
Southern Asia,2022,141763528,6.02,853416.44,13.1,6.35,13.61,30.33,44.94,18.42,0.97,25619.49,51.86
Sub Saharan Africa,2020,111885353,-27.05,3026498.8,42.71,38.09,83.34,19.11,67.34,14,0.942,20455.17,55.05
Central Asia,2021,158633887,22.94,3639061.37,65.69,58.53,46.18,27.81,42.04,17.69,0.695,21136.96,20.42
Northern Africa,2021,81313722,13.42,1091230.15,37.3,15.95,46.53,27.75,7.26,26.26,0.795,1102.24,41.7
Northern America,2022,84724096,4.69,397356.01,17.87,12.04,70.85,16.33,6.58,30.16,0.778,73731.49,39.04
Sub-Saharan Africa,2024,42908214,9.24,396471.9,57.12,17.56,18.37,31.08,6.13,31.69,0.145,55146.74,45.42
Northern America,2020,59058399,21.33,1259715.65,40.99,39.25,85.02,18.7,5.04,18.77,0.853,72779.6,25.13
Latin America and the Caribbean,2024,71446397,17.03,1216732.14,27.11,18.14,53.92,16.33,31.74,15.81,0.485,39595.72,85
Oceania,2022,92627686,16.69,1545956.08,52.7,6.47,39.41,19.47,64.61,11.59,0.886,19516.29,63.31
Europe,2020,149802480,7.44,1114530.45,26.16,12.2,23.39,23.86,41.54,25.37,0.066,54855.45,82.19
Sub-Saharan Africa,2024,181994748,25.57,4653605.71,46.83,34.53,6.41,35.4,42.88,4.12,0.498,47970.2,43.28
Sub-Saharan Africa,2022,102430632,6.99,715990.12,58.6,27.26,18.21,13.04,13.34,32.58,0.903,10717.4,83.9
Northern Africa,2024,237388043,26.73,6345382.39,56.73,45.27,79.86,14.85,9.07,22.29,0.337,21206.5,25.78
Southern Asia,2023,202335994,7.59,1535730.19,45.4,6.26,14.33,28.73,43.76,28.34,0.486,24619.73,48.29
Sub-Saharan Africa,2023,86739185,20.54,1781622.86,69,53.53,81.64,25.29,25.92,7.52,0.959,46110.69,
Sub-Saharan Africa,2023,240972821,8.28,1995254.96,40.01,31.1,87.74,30.77,30.42,31.1,0.361,63051.87,94
South-Eastern Asia,2023,45378944,26.71,1212071.59,62.7,49.19,80.46,17.87,50.17,28.5,0.83,62614.31,58.01
Central Asia,2023,169234838,25.12,4251179.13,44.57,12.92,10.04,27.33,36.11,25.03,0.988,16434.42,75.85
Europe,2022,243709400,14.01,3414368.69,52.25,10.35,65.07,14.57,57.34,25.69,0.056,78930.73,84.16
Eastern Asia,2022,6740260,-18.34,123616.37,80.48,43.76,60.73,25.92,27.43,5.68,0.016,18153.57,61.34
Central Asia,2023,118933210,4.62,549471.43,,13.08,4.86,19.5,67.45,32.46,0.697,,18.61
Northern America,2021,6181480,18.38,113615.6,37.28,22.42,94.12,39.79,35.66,2.26,0.96,9920.56,17.02
Sub Saharan Africa,2021,48778861,17.92,874117.19,9.79,9.54,65.42,39.91,21.55,14.42,0.479,78373.03,26.99
Western Asia,2021,207543055,-19.85,4119729.64,17.58,10.72,43.54,29.37,46.99,3.41,0.139,7457.57,22.96
Northern Africa,2021,105395308,4.61,485872.37,81.14,67.71,8.56,29,16.36,9.04,0.796,46860.04,53.76
Northern America,2023,186016804,25.61,4763890.35,59.15,17.89,72.61,19.24,21.56,25.87,0.74,65997.66,85.53
Northern America,2024,201821910,16.96,3422899.59,6.55,6.32,43.45,16.28,29.56,9.43,0.616,551.33,63.71
Eastern Asia,2024,46226821,11.96,552872.78,68.19,57.02,9.2,30.06,27.38,10.43,0.754,20714.24,40.72
Northern America,2024,30076836,28.8,866212.88,26.2,17.96,65.16,19,59.8,22.75,0.885,69423.71,57.84
Northern America,2021,68597721,23.01,1578433.56,22.58,3.33,73.84,30.18,19.51,21.91,0.627,75181.12,23.11
Central Asia,2023,200458403,16.15,3237403.21,55.15,11.63,58.07,38.13,68.4,32.67,0.235,11444.2,48.06
Oceania,2023,182897629,12.09,2211232.33,43.31,33.35,3.55,16.5,38.24,21.6,0.185,16007.71,66.78
Eastern Asia,2023,156767814,14.4,2257456.52,50.07,18.51,36.35,31.59,32.64,29,0.427,16747.98,92.53
Oceania,2020,202729642,17.53,3553850.62,,35.11,2.37,27.3,42.8,32.17,0.232,3942.78,93.5
Europe,2024,4591113,14.96,68683.05,24.92,20.8,72.02,30.3,47.42,25.95,0.891,70972.79,83.95
Europe,2020,175069725,28.84,5049010.87,77.97,73.52,64.7,29.28,49.5,1.71,0.264,20744.83,79.84
Europe,2024,196731506,2.08,409201.53,30.27,14.49,34.43,12.72,40.32,10.5,0.133,72371.87,30.04
South-Eastern Asia,2021,53510812,14.97,801056.86,19.21,3.18,61.58,13.77,24.91,25,0.745,76182.06,90.37
Sub-Saharan Africa,2024,66037188,5.87,387638.29,5.58,4.75,28.62,27.08,56.05,14.73,0.528,23443.08,95.51
Eastern Asia,2023,49072290,3.86,189419.04,81.2,8.17,50.57,28.61,51.13,32.39,0.344,30239.95,60.11
Western Asia,2021,35327788,17.34,612583.84,32.84,30.73,30.8,29.02,30.06,34.51,0.892,25782.5,15.47
Eastern Asia,2021,199513071,21.15,4219701.45,76.22,71.73,2.06,38.81,38.82,5.39,0.695,51329.57,84.55
Central Asia,2020,202421862,6.19,1252991.33,33.34,12.67,35.96,34.38,39.68,34.08,0.302,20222.67,18.64
Western Asia,2024,216795415,21.34,4626414.16,31.91,16.86,4.95,35,69.94,20.49,0.761,35194.94,86.68
Sub-Saharan Africa,2023,203068504,22.62,4593409.56,69.11,55.44,87.79,35.85,57.66,8.73,0.876,39116.88,26.22
Europe,2020,231286683,24.69,5710468.2,40.07,29.45,10.79,13.65,30.89,8.28,0.865,69232.7,26.62
Latin America and the Caribbean,2020,37346953,14.62,546012.45,14.86,4.42,47.47,28.21,15.96,5.37,0.7,73373.16,15.1
Europe,2022,66004452,28.03,1850104.79,54.02,40.63,5.85,13.62,9.64,27,0.497,1983.68,81.74
South-Eastern Asia,2023,153778750,11.65,1791522.44,65.99,13.67,0.09,30.67,10.47,14.13,0.819,31075.13,19.38
Latin America and the Caribbean,2022,78084097,3.37,263143.41,21.38,12.86,46.31,25.63,49.85,1.33,0.756,15149.5,
Central Asia,2024,100687441,11.09,1116623.72,81.94,12.18,81.57,29.52,19.59,19.92,0.576,4238.17,72.15
Southern Asia,2024,219911232,29.49,6485182.23,5.83,4.32,36.26,15.31,20.23,7.95,0.822,46884.62,48.3
Southern Asia,2022,81382349,22.58,1837613.44,,20.19,45.44,10.37,26.97,17.06,0.258,45292.34,37.22
Oceania,2020,100130817,23.82,2385116.06,54.18,43.51,35.5,39.92,13.19,22.33,0.963,50534.11,60.47
South-Eastern Asia,2024,215751349,26.6,5738985.88,66.27,48.85,35.42,17.35,37.31,3.52,0.639,48998.14,89.88
Sub-Saharan Africa,2024,135066108,24.18,3265898.49,19.84,13.35,98.29,32.52,35.9,28.43,0.121,47317.04,
Northern America,2024,144320487,14.34,2069555.78,31.53,20.25,84.83,17.28,48.86,25.73,0.963,17732.67,57.67
Southern Asia,2024,56745122,28.32,1607021.86,46.41,21.8,6.79,12.23,23.72,29.92,0.942,57178.51,86.94
Sub-Saharan Africa,2023,221530067,14.12,3128004.55,75.95,41.61,55.92,13.29,63.07,13.72,0.48,79027.07,83.54
Europe ,2020,227237961,26.45,6010444.07,44.09,3.34,17.88,13.88,63.71,25.3,0.449,27626.87,15.55
Northern Africa,2024,153043023,8.15,1247300.64,62.66,34.92,55.21,38.53,60.9,29.73,0.052,79064.79,93.36
Central Asia,2023,199621297,15.8,3154016.49,6.53,4.2,46.77,21.31,8.3,24.12,0.752,75907.47,
South-Eastern Asia,2021,169711760,-22.01,3735355.84,66.86,6.12,38.5,15.9,21.68,14.39,0.056,49154.46,30.91
South-Eastern Asia,2023,96295061,21.39,2059751.35,38.39,13.7,67.17,38.7,49.02,21.37,0.513,63296.88,79.11
Northern America,2020,11572394,5.58,64573.96,62.98,40.71,0.98,11.55,40.57,3.18,0.607,14241.95,72.02
Northern Africa,2023,247229825,28.75,7107857.47,54.29,46.51,37.71,15.12,46.36,28.15,0.15,24222.56,42.97
Oceania,2023,103781290,17.4,1805794.45,59.67,4.01,12.59,16.4,5.45,6.49,0.845,52171.48,28.37
Sub-Saharan Africa,2021,154159442,9.72,1498429.78,42.14,35.47,30.54,13.91,14.15,5.73,0.408,42422.85,76.89
Eastern Asia,2021,45797032,22.94,1050583.91,56.78,15.1,11.68,38.04,23.24,6.63,0.925,12922.12,39.74
Sub Saharan Africa,2021,229112225,27.34,6263928.23,,21.6,18.52,11.13,18.97,14.54,0.014,78631.21,30.75
Western Asia,2020,248635214,24.31,6044322.05,,18.78,74.15,36.26,34.15,34.04,0.528,63591.42,21.4
Europe,2022,131509202,2.28,299840.98,30.11,18.2,30.67,24.37,6.86,18.92,0.547,60975.1,87.58
Europe,2024,88571279,19.44,1721825.66,17.72,17.26,60.92,14.91,57.27,4.94,0.271,45254.51,27.64
Northern America,2022,105255182,22.91,2411396.22,63.06,28.35,70.49,13.72,30.25,25.73,0.425,78865.1,91.75
Europe,2024,117111254,22.53,2638516.55,19.97,17.39,93.79,12.62,47.93,21.92,0.512,51134.46,90.07
Oceania,2020,28753060,16.09,462636.74,75.6,60.27,6.58,23.85,18.76,19.06,0.213,71338.84,19.34
Southern Asia,2021,87046727,2.15,187150.46,78.61,76.44,23.41,11.22,67.65,7.32,0.536,52092.1,64.19
Central Asia,2021,144760838,3.03,438625.34,18.34,8.61,90.84,33.49,19.56,0.72,0.234,72192.06,41.95
Western Asia,2023,3101953,28.45,88250.56,49.93,4.97,85.09,27.39,61.4,9.95,0.857,16446.69,38.42
South-Eastern Asia,2024,86234909,6.93,597607.92,7.47,4.53,30.43,38.92,63.13,8.58,0.108,76300.3,50.95
Eastern Asia,2020,16357391,7.12,116464.62,83.83,5.66,10.85,18.46,52.74,25.02,0.797,43840.25,64.76
Sub-Saharan Africa,2022,141041010,23.61,3329978.25,27.94,3.58,99.06,37.21,35.66,28.23,0.43,41489.36,56.69
Southern Asia,2020,218308902,15.33,3346675.47,28.41,7.32,61.45,37.72,22.18,30.61,0.663,1954.02,85.5
Northern Africa,2022,91547759,23.51,2152287.81,24.6,19.24,17.85,32.16,30.53,0.28,0.071,38039.4,17.57
Northern Africa,2022,84585713,29.07,2458906.68,65.38,46.16,74.29,19.91,23.9,5.06,0.603,73831.27,78.49
Sub-Saharan Africa,2023,209505797,12.2,2555970.72,72.67,10.28,64.05,34.97,12.07,30.08,0.74,40940.33,94.68
Northern America,2020,21379001,23.76,507965.06,66.72,13.09,85.57,38.35,22.71,6.7,0.165,2291.18,48.74
Eastern Asia,2021,233003584,10.99,2560709.39,32.65,17.72,21.5,14.73,21.97,30.93,0.066,43824.17,44.5
South-Eastern Asia,2024,52956433,22.21,1176162.38,82.4,78.37,74.93,16.37,18.07,9.64,0.749,28735.04,36.69
Oceania,2024,234150410,19.88,4654910.15,67.09,6.18,7.34,39.93,49.43,10.82,0.238,33794.9,93.5
South-Eastern Asia,2022,9432087,16.6,156572.64,25.98,23.77,46.46,31.92,35.39,13.08,0.027,64108.71,73.23
Northern America,2021,217279839,7.99,1736065.91,13.43,4.71,89.87,28.7,55.18,8.02,0.629,15905.22,58.22
Western Asia,2024,46990125,27.77,1304915.77,,64.18,73.2,24.72,69.25,16.92,0.7,66044.56,34.73
Northern Africa,2020,229366607,11.69,2681295.64,44.47,20.26,69.78,23.58,59.64,18.58,0.588,55924.51,71.04
Central Asia,2023,180320649,22.73,4098688.35,81.43,29.82,97.29,27.97,25.14,4.82,0.518,77029.95,84.85
Sub-Saharan Africa,2024,235831551,3.52,830127.06,66.89,46.94,83.75,13.15,30.61,11.8,0.772,60913.24,56.5
Central Asia,2024,220966141,23.62,5219220.25,75.25,49.21,77.11,19.49,36.54,15.11,0.214,68158.39,59.71
Northern Africa,2020,151950605,11.38,1729197.88,83.59,82.43,67.2,39.51,12.65,0.42,0.851,55550.24,40.9
Oceania,2022,106760809,13.88,1481840.03,47.87,20.89,12.57,35.4,47.62,8.22,0.962,13155.06,70.82
Latin America and the Caribbean,2021,141516938,15.69,2220400.76,30.66,27.99,60.67,32.24,6.97,3.43,0.403,33667.15,20.47
Eastern Asia,2021,192101684,10.96,2105434.46,72.16,25.99,10.77,35.33,28.49,12.49,0.67,26903.13,40.02
South-Eastern Asia,2024,223390301,3.26,728252.38,9.35,6.27,61.37,17.27,63.23,28.32,0.859,36830.01,82.71
Northern Africa,2022,187867321,17.76,3336523.62,10.54,4.45,1.04,35.94,22.88,8.01,0.905,38522.98,39.81
Western Asia,2023,223425744,12.18,2721325.56,54.17,48.02,26.87,12.87,26.14,22.35,0.997,14292.82,82.33
Sub-Saharan Africa,2024,160800993,9.06,1456857,37.06,30.37,50.98,16.48,39.31,18.43,0.486,29588.6,63.18
South-Eastern Asia,2024,223515565,5.28,1180162.18,43.08,3.29,79.22,39.06,7.29,20.5,0.612,1315.4,78.55
Northern America,2023,41676616,2.6,108359.2,14.9,9.02,45.2,35.88,61.55,33.34,0.475,76575.19,40.45
Oceania,2023,67897047,17.09,1160360.53,22.73,21.87,47.27,15.81,17.12,6.88,0.085,31011.56,43.77
Latin America and the Caribbean,2020,247095121,19.91,4919663.86,150,14,68.41,24.19,52.02,13.5,0.726,45755.11,
South-Eastern Asia,2024,189824323,9.85,1869769.58,26.3,7.87,31.55,28.44,34.47,9.16,0.983,32368.52,40.8
Sub-Saharan Africa,2022,70135958,22.51,1578760.41,10.16,4.18,78.62,22.44,11.59,11.51,0.636,50585.25,29.81
Western Asia,2021,158506934,12.85,2036814.1,64.51,42.03,7.52,14.67,53.35,3.71,0.202,69055.47,95
Latin America and the Caribbean,2024,96726058,3.8,367559.02,82.87,19.29,98.65,19.63,65.26,22.27,0.096,20886.63,
Oceania,2021,194343182,30,5830295.46,51.75,36.19,15.12,13.66,23.52,19.88,0.127,74784.33,78.88
Eastern Asia,2020,41539669,23.51,976597.62,37.27,29.78,1.7,22.78,32.61,6.87,0.219,4316.04,69.6
Sub-Saharan Africa,2020,90491986,30,2714759.58,56.04,43.65,3.89,33.67,9.45,0.68,0.553,61737.27,53.64
Eastern Asia,2023,39692466,27.17,1078444.3,71.16,57.17,5.61,37.86,34.27,8.94,0.732,3455.96,27.27
Europe,2022,208874164,4.57,954554.93,13.46,8.99,97.02,14.61,63.01,13.8,0.458,51723.45,73.05
Western Asia,2024,32363909,17.11,553746.48,51.3,42.72,42.02,37.11,57.95,19.02,0.289,58550.32,73.07
Latin America and the Caribbean,2022,93345924,29.69,2771440.48,17.91,12.78,21.74,28.5,48.74,30.33,0.518,67006,23.6
Oceania,2021,184222299,3.59,661358.05,41.98,27.25,53.13,30.1,14.87,24.63,0.031,24048.56,91.98
Southern Asia,2021,105389496,6.33,667115.51,37.91,18.16,28.26,15.68,20.22,23.81,0.114,,28.15
Central Asia,2024,130488445,8.02,1046517.33,6.76,5.55,65.06,14.8,46.24,18.78,0.15,17185.67,54.15
Eastern Asia,2023,155665007,17.64,2745930.72,46.94,44.67,42.64,12.89,19.01,23.68,0.406,61946.91,59.35
Latin America and the Caribbean,2020,42506123,3.58,152171.92,53.97,31.42,75.8,15.08,56.77,28.86,0.197,30413.14,49.07
Sub Saharan Africa,2020,218501570,13.57,2965066.3,10.16,8.61,57.43,29.28,30.45,3.44,0.367,48669.23,61.34
Western Asia,2020,15116858,25.48,385177.54,74.71,29.17,70.79,24.44,43.96,24.34,0.621,55616.09,61.93
Northern Africa,2021,73480643,23.35,1715773.01,36.85,5.79,56.76,22.25,28.99,4.95,0.666,35706.47,45.04
Sub-Saharan Africa,2023,20293422,27.78,563751.26,150,4.21,63.31,26.21,60.6,28.06,0.081,23241.33,61.71
Northern Africa,2023,142823621,22.82,3259235.03,56.98,6.77,28.51,18,64.36,8,0.513,76831.06,97.36
South-Eastern Asia,2020,23775563,5.2,123632.93,22.78,17.68,71.36,10.39,30.3,14.66,0.355,47968.12,46.76
Southern Asia,2024,123440312,10.53,1299826.49,64.99,57.24,26.05,14.28,51.51,16.42,0.091,33732.9,20.49
Southern Asia,2024,191955536,20.47,3929329.82,,15.46,80.05,34.56,48.4,23.43,0.102,37499.05,86.95
Northern America,2023,28928392,4.96,143484.82,72.17,60.96,48.92,28.42,20,32.09,0.573,51253.48,52.21
Northern Africa,2023,209677594,-20.42,4281616.47,77.48,14.3,69.61,37.44,45.61,20.81,0.153,17846.43,62.41
